[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000241s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001345s ]
[ 2013-05-08T21:54:03+08:00 ] / | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-08T21:54:03+08:00 ] / | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='364' [ RunTime:0.000357s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001565s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000213s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001447s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='37' LIMIT 1   [ RunTime:0.000167s ]
[ 2013-05-08T21:54:03+08:00 ] / | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001433s ]
