[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run ParseTemplate Behavior [ RunTime:0.041956s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042028s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_filter ] --START--
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run ContentReplace Behavior [ RunTime:0.000599s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run TokenBuild Behavior [ RunTime:0.000383s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000154s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run ShowRuntime Behavior [ RunTime:0.000343s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001605s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_end ] --START--
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000315s ]
[ 2013-05-05T10:57:18+08:00 ] /?a=index&m=cate&cid=61 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000364s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | INFO: Tag[ app_begin ] --START--
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000468s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000562s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.002312s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SELECT `data` FROM `pp_setting` WHERE ( `name` = 'site_status' ) LIMIT 1   [ RunTime:0.000217s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_setting` [ RunTime:0.000899s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_like_list` [ RunTime:0.000686s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001580s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_items` [ RunTime:0.003290s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001183s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_items_comments` [ RunTime:0.000697s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_user_openid` [ RunTime:0.001170s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_user_follow` [ RunTime:0.001041s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_user_comments` [ RunTime:0.001046s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SELECT * FROM `pp_setting`  [ RunTime:0.000263s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_nav` [ RunTime:0.001270s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SELECT * FROM `pp_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.000285s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SHOW COLUMNS FROM `pp_flink` [ RunTime:0.001276s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SELECT * FROM `pp_flink` WHERE status=1  [ RunTime:0.000170s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 97 行.
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SELECT * FROM `pp_user` WHERE id= LIMIT 1   [ RunTime:0.000109s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 114 行.
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | SQL: SELECT COUNT(*) AS tp_count FROM `pp_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.000121s ]
[ 2013-05-05T10:57:22+08:00 ] /?a=index&m=cate&cid=38 | NOTIC: [8] Undefined index: user_id baseAction.class.php 第 118 行.
