[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='95' [ RunTime:0.000485s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001024s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000168s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.000956s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000204s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001212s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000204s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001027s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='96' [ RunTime:0.000463s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.000994s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000195s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001033s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000162s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.000921s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000162s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.000884s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='97' [ RunTime:0.000621s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001024s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000200s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001316s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000171s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_site` [ RunTime:0.001036s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_site` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000210s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_tags` [ RunTime:0.001041s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_order RelationModel.class.php 第 197 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | NOTIC: [8] Undefined index: mapping_limit RelationModel.class.php 第 198 行.
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT b.* FROM pp_items_tags_item AS a, pp_items_tags AS b WHERE a.tag_id = b.id AND a. item_id='98' [ RunTime:0.000493s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_user` [ RunTime:0.001012s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_user` WHERE 1=1 AND id='0' LIMIT 1   [ RunTime:0.000284s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SHOW COLUMNS FROM `pp_items_cate` [ RunTime:0.001034s ]
[ 2013-05-08T22:38:06+08:00 ] /?a=index&m=index&sp=2&p=1 | SQL: SELECT * FROM `pp_items_cate` WHERE 1=1 AND id='38' LIMIT 1   [ RunTime:0.000225s ]
